"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2006-11",100.6892,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2006-12",100.7586,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2007-01",100.784,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2007-02",100.6889,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2007-03",100.5673,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2007-04",100.5083,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2007-05",100.4996,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2007-06",100.4528,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2007-07",100.3965,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2007-08",100.226,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2007-09",100.0274,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2007-10",99.7922,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2007-11",99.5293,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2007-12",99.3276,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2008-01",99.1392,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2008-02",98.8519,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2008-03",98.5129,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2008-04",98.105,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2008-05",97.7356,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2008-06",97.4925,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2008-07",97.465,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2008-08",97.5583,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2008-09",97.5971,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2008-10",97.3753,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2008-11",97.1745,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2008-12",97.0693,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2009-01",97.0113,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2009-02",97.0139,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2009-03",97.2065,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2009-04",97.5906,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2009-05",97.9646,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2009-06",98.2366,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2009-07",98.3974,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2009-08",98.5763,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2009-09",98.8022,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2009-10",98.9113,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2009-11",98.9578,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2009-12",99.0517,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2010-01",99.1488,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2010-02",99.1787,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2010-03",99.1773,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2010-04",99.1445,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2010-05",99.0928,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2010-06",99.0199,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2010-07",98.8832,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2010-08",98.8064,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2010-09",98.7699,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2010-10",98.8315,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2010-11",98.9926,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2010-12",99.1228,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2011-01",99.1427,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2011-02",99.0446,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2011-03",98.7965,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2011-04",98.6397,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2011-05",98.6037,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2011-06",98.4635,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2011-07",98.161,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2011-08",97.855,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2011-09",97.7707,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2011-10",97.8564,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2011-11",98.0798,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2011-12",98.3813,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2012-01",98.6718,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2012-02",98.8555,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2012-03",98.9474,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2012-04",98.952,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2012-05",98.9181,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2012-06",98.8,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2012-07",98.7385,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2012-08",98.791,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2012-09",98.9005,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2012-10",98.9856,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2012-11",98.955,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2012-12",98.8346,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2013-01",98.8542,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2013-02",98.9679,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2013-03",99.0908,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2013-04",99.2232,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2013-05",99.4191,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2013-06",99.5447,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2013-07",99.5907,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2013-08",99.5196,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2013-09",99.3858,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2013-10",99.2501,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2013-11",99.2659,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2013-12",99.3933,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.4777,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.5136,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2014-03",99.5531,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2014-04",99.6388,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2014-05",99.697,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2014-06",99.7234,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.7213,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.7313,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.7763,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2014-10",99.8742,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.0327,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.2686,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.4851,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.5833,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.6034,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.5863,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.5261,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.5201,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.4522,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.3729,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.315,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.3698,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.4578,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.4985,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.4562,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.3728,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.3237,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.3365,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.4155,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.41,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.3297,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.2879,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.3047,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.3573,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.5335,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.7242,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.802,
