"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2007-08",100.5001,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2007-09",100.3301,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2007-10",100.1188,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2007-11",99.87688,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2007-12",99.68188,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-01",99.48063,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-02",99.19039,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-03",98.84978,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-04",98.44472,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-05",98.06869,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-06",97.80495,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-07",97.75105,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-08",97.83229,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-09",97.83817,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-10",97.58794,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-11",97.35278,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-12",97.21343,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-01",97.13928,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-02",97.13474,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-03",97.31765,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-04",97.69802,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-05",98.08385,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-06",98.38127,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-07",98.57205,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-08",98.75338,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-09",98.95282,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-10",99.0456,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-11",99.07668,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-12",99.14901,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-01",99.24113,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-02",99.2897,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-03",99.31387,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-04",99.3106,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-05",99.28815,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-06",99.25881,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-07",99.19162,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-08",99.16207,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-09",99.15462,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-10",99.20653,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-11",99.32159,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-12",99.40123,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-01",99.40347,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-02",99.31674,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-03",99.10321,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-04",98.96871,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-05",98.94099,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-06",98.83816,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-07",98.59386,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-08",98.31979,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-09",98.21713,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-10",98.25539,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-11",98.40543,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-12",98.60499,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-01",98.81851,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-02",98.9682,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-03",99.04507,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-04",99.05561,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-05",99.02591,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-06",98.92445,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-07",98.85731,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-08",98.85258,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-09",98.8952,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-10",98.95628,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-11",98.96481,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-12",98.9225,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-01",98.98776,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-02",99.10047,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-03",99.20292,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-04",99.29871,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-05",99.44345,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-06",99.54755,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-07",99.60583,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-08",99.57818,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-09",99.50019,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-10",99.43466,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-11",99.47038,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-12",99.55903,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.60184,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.62418,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",99.67936,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",99.7661,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",99.80876,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",99.82144,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.80691,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.80431,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.82614,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",99.87712,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",99.97061,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.1306,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.2911,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.3755,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.3972,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.3859,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.3301,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.2926,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.2072,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.1313,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.1018,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.2073,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.3488,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.396,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.3272,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.21,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.1405,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.142,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.2041,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.2141,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.1704,
